"File","LineNumber","Before","After"
"intelligent-machines\index.html","81","<p>Bhava Tech &mdash; Engineering Curiosity Lab &middot; Built with HTML5, CSS3 &amp; Vanilla JS</p>","<p>Medhā Tech &mdash; Engineering Curiosity Lab &middot; Built with HTML5, CSS3 &amp; Vanilla JS</p>"
"intelligent-machines\js\level4.js","191","This curiosity map can connect with Bhava Tech's Career","This curiosity map can connect with Medhā Tech's Career"
"intelligent-machines\js\data\abilities.js","189","realWorld:[""Personalized learning apps (like Bhava Tech's games!)"",""Recommendation systems that learn your taste"",""Robots learning to grasp objects through trial and error""],","realWorld:[""Personalized learning apps (like Medhā Tech's games!)"",""Recommendation systems that learn your taste"",""Robots learning to grasp objects through trial and error""],"
"intelligent-machines\js\data\abilities.js","511","realWorld:[""AI-assisted art and music tools"",""Game design software"",""Architectural design tools"",""Bhava Tech's own game design process!""],","realWorld:[""AI-assisted art and music tools"",""Game design software"",""Architectural design tools"",""Medhā Tech's own game design process!""],"
"know-maths\bhava-responsive.css","2","bhava-responsive.css — Global Mobile/Tablet Toolkit for Bhāva Tech Games","bhava-responsive.css — Global Mobile/Tablet Toolkit for Medhā Tech Games"
"know-maths\bhava-responsive.js","2","// bhava-responsive.js — Global Mobile/Tablet Toolkit for Bhāva Tech Games","// bhava-responsive.js — Global Mobile/Tablet Toolkit for Medhā Tech Games"
"know-maths\index.html","6","<title>Know Maths — Bhāva Tech</title>","<title>Know Maths — Medhā Tech</title>"
"know-maths\index.html","20","// Bhava Nav — injected before React mounts, survives React render via MutationObserver","// Medhā Nav — injected before React mounts, survives React render via MutationObserver"
"life-strategist-starter\bhava-bridge.js","2","* bhava-bridge.js — Compatibility layer for Bhāva Tech","* bhava-bridge.js — Compatibility layer for Medhā Tech"
"life-strategist-starter\bhava-game-nav.js","2","// bhava-game-nav.js  — Universal Game Navigation Bar for Bhāva Tech","// bhava-game-nav.js  — Universal Game Navigation Bar for Medhā Tech"
"life-strategist-starter\bhava-game-nav.js","170","body.innerHTML = '<div class=""bgnav-loading"">Fetching scores from Bhāva DB…</div>';","body.innerHTML = '<div class=""bgnav-loading"">Fetching scores from Medhā DB…</div>';"
"life-strategist-starter\bhava-game-nav.js","173","body.innerHTML = '<div class=""bgnav-info"">Bhava IPC not available.<br>Launch from the Electron app.</div>';","body.innerHTML = '<div class=""bgnav-info"">Medhā IPC not available.<br>Launch from the Electron app.</div>';"
"life-strategist-starter\bhava-responsive.css","2","bhava-responsive.css — Global Mobile/Tablet Toolkit for Bhāva Tech Games","bhava-responsive.css — Global Mobile/Tablet Toolkit for Medhā Tech Games"
"life-strategist-starter\bhava-responsive.js","2","// bhava-responsive.js — Global Mobile/Tablet Toolkit for Bhāva Tech Games","// bhava-responsive.js — Global Mobile/Tablet Toolkit for Medhā Tech Games"
"life-strategist-starter\bhava-session.js","1","// ── Bhāva Tech — Session Tracker + Game Nav v3 ───────────────────────────────","// ── Medhā Tech — Session Tracker + Game Nav v3 ───────────────────────────────"
"life-strategist-starter\bhava-session.js","406",".replace(/bh[aā]va|tech/gi, '').trim().slice(0, 32) || 'Bhāva Game';",".replace(/bh[aā]va|tech/gi, '').trim().slice(0, 32) || 'Medhā Game';"
"life-strategist-starter\bhava-tech-all.js","2","// ║          bhava-tech-all.js — Bhāva Tech                     ║","// ║          bhava-tech-all.js — Medhā Tech                     ║"
"life-strategist-starter\bhava-tech-all.js","12","/* Bhava Tech — script.js CLEAN BUILD */","/* Medhā Tech — script.js CLEAN BUILD */"
"life-strategist-starter\bhava-tech-all.js","97","a: 'There are three primary quotients assessed at Bhava Tech. IQ (Intelligence Quotient) measures logical reasoning, memory, problem-solving, and processing speed. EQ (Emotional Quotient) measures self-awareness, empathy, emotional regulation, and social skills. SQ (Spiritual/Social Quotient) measures inner clarity, sense of purpose, and values alignment. Together they give a complete picture of cognitive and personal development.'","a: 'There are three primary quotients assessed at Medhā Tech. IQ (Intelligence Quotient) measures logical reasoning, memory, problem-solving, and processing speed. EQ (Emotional Quotient) measures self-awareness, empathy, emotional regulation, and social skills. SQ (Spiritual/Social Quotient) measures inner clarity, sense of purpose, and values alignment. Together they give a complete picture of cognitive and personal development.'"
"life-strategist-starter\bhava-tech-all.js","101","a: 'No. IQ measures only logical and analytical thinking. Research over 30 years shows that EQ is an equally powerful predictor of success in life, relationships, and career. SQ adds the dimension of inner wisdom and purposeful living. A high IQ with low EQ can still lead to poor decisions. That is why Bhava Tech assesses all three together.'","a: 'No. IQ measures only logical and analytical thinking. Research over 30 years shows that EQ is an equally powerful predictor of success in life, relationships, and career. SQ adds the dimension of inner wisdom and purposeful living. A high IQ with low EQ can still lead to poor decisions. That is why Medhā Tech assesses all three together.'"
"life-strategist-starter\bhava-tech-all.js","121","a: 'Brain Gym at Bhava Tech is a structured set of cognitive exercises designed to strengthen specific mental functions - just like physical gym exercises strengthen muscles. It includes memory training, attention exercises, pattern recognition tasks, and problem-solving games. Regular sessions build neural pathways, improve working memory, sharpen focus, and increase mental stamina. Results are typically noticeable within 4 to 6 weeks.'","a: 'Brain Gym at Medhā Tech is a structured set of cognitive exercises designed to strengthen specific mental functions - just like physical gym exercises strengthen muscles. It includes memory training, attention exercises, pattern recognition tasks, and problem-solving games. Regular sessions build neural pathways, improve working memory, sharpen focus, and increase mental stamina. Results are typically noticeable within 4 to 6 weeks.'"
"life-strategist-starter\bhava-tech-all.js","124","q: 'What methods and techniques does Bhava Tech use?',","q: 'What methods and techniques does Medhā Tech use?',"
"life-strategist-starter\bhava-tech-all.js","148","q: 'Can schools and institutions partner with Bhava Tech?',","q: 'Can schools and institutions partner with Medhā Tech?',"
"life-strategist-starter\bhava-tech-all.js","186","{ name: 'Narasimha Rao',    role: 'Parent of Divya (Age 12)', stars: 5, quote: 'The team at Bhava Tech is exceptional. The SQ test revealed intelligence areas we never thought to nurture. Highly recommended for every parent.' },","{ name: 'Narasimha Rao',    role: 'Parent of Divya (Age 12)', stars: 5, quote: 'The team at Medhā Tech is exceptional. The SQ test revealed intelligence areas we never thought to nurture. Highly recommended for every parent.' },"
"life-strategist-starter\bhava-tech-all.js","188","{ name: 'Dr. Padma Venkat', role: 'School Principal, Vizag',  stars: 5, quote: 'We partnered with Bhava Tech for 60 students. The reports were professional and the Brain Gym sessions kept children genuinely engaged.' }","{ name: 'Dr. Padma Venkat', role: 'School Principal, Vizag',  stars: 5, quote: 'We partnered with Medhā Tech for 60 students. The reports were professional and the Brain Gym sessions kept children genuinely engaged.' }"
"life-strategist-starter\bhava-tech-all.js","296",".then(function(r) { if (!r.ok) throw new Error(); if (st) { st.textContent = 'Subscribed! You will receive Bhava Tech updates.'; st.className = 'status-msg ok'; } nlForm.reset(); })",".then(function(r) { if (!r.ok) throw new Error(); if (st) { st.textContent = 'Subscribed! You will receive Medhā Tech updates.'; st.className = 'status-msg ok'; } nlForm.reset(); })"
"life-strategist-starter\bhava-tech-all.js","468","name: 'Bhāva Tech',","name: 'Medhā Tech',"
"life-strategist-starter\bhava-tech-all.js","636","// SESSION TRACKER — Bhāva Tech","// SESSION TRACKER — Medhā Tech"
"life-strategist-starter\bhava-tech-all.js","732","<p class=""bv-sub"">You've been exploring Bhāva Tech for 15 minutes — subscribe to keep using Brain Games, Progress Tracking &amp; more.","<p class=""bv-sub"">You've been exploring Medhā Tech for 15 minutes — subscribe to keep using Brain Games, Progress Tracking &amp; more."
"life-strategist-starter\bhava-tech-all.js","799","toast.textContent = ""✅ Unlocked! Welcome to Bhāva Tech!"";","toast.textContent = ""✅ Unlocked! Welcome to Medhā Tech!"";"
"life-strategist-starter\index.html","6","<title>Life Strategist — Bhāva Tech</title>","<title>Life Strategist — Medhā Tech</title>"
"life-strategist-starter\index.html","13","/* ── Bhāva ☰ Menu Button ── */","/* ── Medhā ☰ Menu Button ── */"
"life-strategist-starter\index.html","35","/* ── Bhāva Overlay ── */","/* ── Medhā Overlay ── */"
"life-strategist-starter\index.html","80","<!-- Bhāva ☰ Menu Button -->","<!-- Medhā ☰ Menu Button -->"
"life-strategist-starter\index.html","81","<button id=""bhava-menu-btn"" title=""Bhāva Menu"">☰</button>","<button id=""bhava-menu-btn"" title=""Medhā Menu"">☰</button>"
"life-strategist-starter\index.html","83","<!-- Bhāva Overlay -->","<!-- Medhā Overlay -->"
"life-strategist-starter\index.html","87","<p>Bhāva Tech Cognitive Games</p>","<p>Medhā Tech Cognitive Games</p>"
"life-strategist-starter\index.html","117","<!-- Bhāva External Scripts (relative paths — copied into game folder) -->","<!-- Medhā External Scripts (relative paths — copied into game folder) -->"
"life-strategist-starter\index.html","124","// ── Bhāva Menu & Navigation ──────────────────────────────────────────","// ── Medhā Menu & Navigation ──────────────────────────────────────────"
"life-strategist-starter\lifestrategist-scenarios-data.js","2","// Bhāva Tech — Life Strategist","// Medhā Tech — Life Strategist"
"life-strategist-starter\data\report-screen.js","11","// ── Bhāva Session End ──────────────────────────────────────────────────","// ── Medhā Session End ──────────────────────────────────────────────────"
"life-strategist-starter\data\report-screen.js","24","// Bhāva session not available in this environment — silent no-op","// Medhā session not available in this environment — silent no-op"
"life-strategist-starter\data\scenarios-data.js","2","// Bhāva Tech — Life Strategist","// Medhā Tech — Life Strategist"
"life-strategist-starter\js\lifestrategist-scenario-loader.js","2","// Bhāva Tech — Life Strategist","// Medhā Tech — Life Strategist"
"life-strategist-starter\js\engine\scenario-loader.js","2","// Bhāva Tech — Life Strategist","// Medhā Tech — Life Strategist"
"life-strategist-starter\js\screens\home-screen.js","10","UI.badge('Bhāva Tech Cognitive Games'),","UI.badge('Medhā Tech Cognitive Games'),"
"life-strategist-starter\OLD_Files\index (33).html","6","<title>Life Strategist — Bhāva Tech</title>","<title>Life Strategist — Medhā Tech</title>"
